JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;796;28/1/2016;3;7;8;18;26
INTRALOT_MINAS_5;795;27/1/2016;3;7;9;30;32
INTRALOT_MINAS_5;794;26/1/2016;8;16;28;32;33
INTRALOT_MINAS_5;793;25/1/2016;2;7;8;18;22
INTRALOT_MINAS_5;792;23/1/2016;10;11;19;30;34
INTRALOT_MINAS_5;791;22/1/2016;1;7;15;16;22
INTRALOT_MINAS_5;790;21/1/2016;3;7;11;19;32
INTRALOT_MINAS_5;789;20/1/2016;6;11;23;28;32
INTRALOT_MINAS_5;788;19/1/2016;16;21;22;30;34
INTRALOT_MINAS_5;787;18/1/2016;1;9;15;23;31
